"","state","state.name","middate","pollster","pollster_id","poll_grade","samplesize","population","clinton","trump","days.until"
"496","IA","Iowa","8/9/16","Suffolk University",65,"B+",500,"likelyvoters",36,37,91
"497","IA","Iowa","8/8/16","Ipsos",25,"A-",369,"likelyvoters",41.22,41.45,92
"498","IA","Iowa","8/5/16","Marist College",8,"A",899,"registeredvoters",35,35,95
"499","IA","Iowa","7/14/16","YouGov",81,"B",998,"likelyvoters",39,40,117
"500","IA","Iowa","7/9/16","Monmouth University",1,"A+",401,"likelyvoters",42,44,122
"501","IA","Iowa","7/7/16","Marist College",8,"A",822,"registeredvoters",37,37,124
"502","IA","Iowa","6/26/16","Loras College",170,"B-",600,"likelyvoters",44,31,135
"503","IA","Iowa","6/16/16","Evolving Strategies",NA,"",601,"likelyvoters",38,36,145
"504","IA","Iowa","1/4/16","Marist College",8,"A",1470,"registeredvoters",48,40,309
"505","IA","Iowa","11/13/15","Morning Consult",NA,"",641,"registeredvoters",41,40,361
"506","ID","Idaho","10/17/16","Google Consumer Surveys",73,"B",182,"likelyvoters",26.63,38.39,22
"507","ID","Idaho","10/12/16","CVOTER International",192,"C+",316,"likelyvoters",34,60,27
"508","ID","Idaho","10/12/16","Google Consumer Surveys",73,"B",161,"likelyvoters",23.38,33.65,27
"509","ID","Idaho","10/10/16","Ipsos",25,"A-",171,"likelyvoters",35.13,50.7,29
"510","ID","Idaho","10/6/16","Google Consumer Surveys",73,"B",150,"likelyvoters",24.82,32.89,33
"511","ID","Idaho","10/5/16","CVOTER International",192,"C+",330,"likelyvoters",33.5,59.9,34
"512","ID","Idaho","10/3/16","Dan Jones & Associates",273,"C+",608,"likelyvoters",30,40,36
"513","ID","Idaho","10/3/16","Ipsos",25,"A-",199,"likelyvoters",31.26,54.18,36
"514","ID","Idaho","9/30/16","Google Consumer Surveys",73,"B",158,"likelyvoters",27.19,42.68,39
"515","ID","Idaho","9/26/16","Ipsos",25,"A-",197,"likelyvoters",31.01,55.22,43
"516","ID","Idaho","9/25/16","CVOTER International",192,"C+",487,"likelyvoters",31.9,62.3,44
"517","ID","Idaho","9/23/16","Google Consumer Surveys",73,"B",144,"likelyvoters",22.61,46.46,46
"518","ID","Idaho","9/19/16","Ipsos",25,"A-",175,"likelyvoters",27.39,59.62,50
"519","ID","Idaho","9/18/16","CVOTER International",192,"C+",479,"likelyvoters",33,60.6,51
"520","ID","Idaho","9/17/16","Google Consumer Surveys",73,"B",144,"likelyvoters",18.72,43.51,52
"521","ID","Idaho","9/12/16","Ipsos",25,"A-",178,"likelyvoters",32.19,54.9,57
"522","ID","Idaho","9/10/16","Google Consumer Surveys",73,"B",165,"likelyvoters",11.78,42.37,59
"523","ID","Idaho","9/5/16","Ipsos",25,"A-",176,"likelyvoters",31.94,56.14,64
"524","ID","Idaho","9/3/16","Google Consumer Surveys",73,"B",187,"likelyvoters",24.67,35.73,66
"525","ID","Idaho","8/29/16","Ipsos",25,"A-",167,"likelyvoters",30.1,55.85,71
"526","ID","Idaho","8/27/16","Google Consumer Surveys",73,"B",168,"likelyvoters",25.17,35.94,73
"527","ID","Idaho","8/24/16","Dan Jones & Associates",273,"C+",602,"likelyvoters",23,44,76
"528","ID","Idaho","8/22/16","Ipsos",25,"A-",126,"likelyvoters",27.92,58.08,78
"529","ID","Idaho","8/20/16","SurveyMonkey",352,"C-",716,"registeredvoters",25,44,80
"530","ID","Idaho","8/20/16","Google Consumer Surveys",73,"B",164,"likelyvoters",25.88,36.13,80
"531","ID","Idaho","8/15/16","Ipsos",25,"A-",144,"likelyvoters",29.2,49.24,85
"532","ID","Idaho","8/13/16","Google Consumer Surveys",73,"B",166,"likelyvoters",24.07,40.41,87
"533","ID","Idaho","8/8/16","Ipsos",25,"A-",186,"likelyvoters",30.39,44.22,92
"534","ID","Idaho","7/10/16","Dan Jones & Associates",273,"C+",601,"likelyvoters",23,44,121
"535","IL","Illinois","10/17/16","Google Consumer Surveys",73,"B",1105,"likelyvoters",38.96,29.27,22
"536","IL","Illinois","10/17/16","Ipsos",25,"A-",371,"likelyvoters",57.33,27.64,22
"537","IL","Illinois","10/13/16","Illinois Public Opinion Strategies",NA,"",644,"likelyvoters",50,31.5,26
"538","IL","Illinois","10/12/16","CVOTER International",192,"C+",398,"likelyvoters",55.5,40.2,27
"539","IL","Illinois","10/12/16","Google Consumer Surveys",73,"B",930,"likelyvoters",36.05,32.23,27
"540","IL","Illinois","10/10/16","Ipsos",25,"A-",409,"likelyvoters",60.31,27.44,29
"541","IL","Illinois","10/6/16","Google Consumer Surveys",73,"B",1025,"likelyvoters",39.07,29.52,33
"542","IL","Illinois","10/5/16","CVOTER International",192,"C+",397,"likelyvoters",55.4,39.9,34
"543","IL","Illinois","10/4/16","Global Strategy Group",275,"C+",600,"likelyvoters",50,33,35
"544","IL","Illinois","10/3/16","Ipsos",25,"A-",601,"likelyvoters",57.49,31.29,36
"545","IL","Illinois","9/30/16","Google Consumer Surveys",73,"B",1116,"likelyvoters",42.41,25.35,39
"546","IL","Illinois","9/29/16","Southern Illinois University",NA,"",865,"likelyvoters",53.2,28.4,40
"547","IL","Illinois","9/26/16","Ipsos",25,"A-",422,"likelyvoters",52.71,33.37,43
"548","IL","Illinois","9/25/16","CVOTER International",192,"C+",682,"likelyvoters",53.5,42.1,44
"549","IL","Illinois","9/23/16","Google Consumer Surveys",73,"B",933,"likelyvoters",36.79,30.29,46
"550","IL","Illinois","9/22/16","Victory Research",NA,"",1200,"likelyvoters",48.6,35.1,47
"551","IL","Illinois","9/20/16","Emerson College",119,"B",700,"likelyvoters",44.5,38.7,49
"552","IL","Illinois","9/19/16","Ipsos",25,"A-",426,"likelyvoters",53.43,30.81,50
"553","IL","Illinois","9/18/16","CVOTER International",192,"C+",657,"likelyvoters",54.2,40.7,51
"554","IL","Illinois","9/17/16","Google Consumer Surveys",73,"B",1027,"likelyvoters",39.01,29.4,52
"555","IL","Illinois","9/14/16","Loras College",170,"B-",600,"likelyvoters",43,30,55
"556","IL","Illinois","9/12/16","We Ask America",336,"C",955,"registeredvoters",51.24,32.71,57
"557","IL","Illinois","9/12/16","Ipsos",25,"A-",432,"likelyvoters",51.5,36.18,57
"558","IL","Illinois","9/10/16","Google Consumer Surveys",73,"B",1226,"likelyvoters",37.79,29.41,59
"559","IL","Illinois","9/5/16","Ipsos",25,"A-",460,"likelyvoters",51.65,33.86,64
"560","IL","Illinois","9/3/16","Google Consumer Surveys",73,"B",1185,"likelyvoters",34.91,29.27,66
"561","IL","Illinois","8/29/16","Ipsos",25,"A-",359,"likelyvoters",49.97,36.68,71
"562","IL","Illinois","8/27/16","Google Consumer Surveys",73,"B",1040,"likelyvoters",34.63,28.61,73
"563","IL","Illinois","8/22/16","Ipsos",25,"A-",366,"likelyvoters",52.63,26.24,78
"564","IL","Illinois","8/20/16","SurveyMonkey",352,"C-",2599,"registeredvoters",45,31,80
"565","IL","Illinois","8/20/16","Google Consumer Surveys",73,"B",1047,"likelyvoters",35.37,28.77,80
"566","IL","Illinois","8/15/16","Ipsos",25,"A-",788,"likelyvoters",56.22,29.58,85
"567","IL","Illinois","8/13/16","Google Consumer Surveys",73,"B",1007,"likelyvoters",37.04,26.64,87
"568","IL","Illinois","8/2/16","Normington, Petts & Associates",280,"C+",800,"likelyvoters",51,32,98
"569","IL","Illinois","7/26/16","Illinois Public Opinion Strategies",NA,"",824,"likelyvoters",49.2,35.6,105
"570","IL","Illinois","7/15/16","Victory Research",NA,"",1200,"likelyvoters",51,34,116
"571","IL","Illinois","7/12/16","Normington, Petts & Associates",280,"C+",800,"likelyvoters",51,32,119
"572","IL","Illinois","7/11/16","Basswood Research",268,"C+",NA,"likelyvoters",46.4,32.5,120
"573","IL","Illinois","6/7/16","Political Callers, Inc.",NA,"",732,"likelyvoters",48.3,29.5,154
"574","IL","Illinois","6/5/16","We Ask America",336,"C",1231,"registeredvoters",47,35,156
"575","IL","Illinois","3/7/16","Marist College",8,"A",1968,"registeredvoters",57,32,246
"576","IL","Illinois","1/9/16","Ogden & Fry",NA,"",502,"likelyvoters",36.5,27.5,304
"577","IN","Indiana","10/17/16","Google Consumer Surveys",73,"B",717,"likelyvoters",35.95,33.04,22
"578","IN","Indiana","10/13/16","Ipsos",25,"A-",354,"likelyvoters",38.42,49.04,26
"579","IN","Indiana","10/13/16","Ball State University",NA,"",544,"likelyvoters",37,43,26
"580","IN","Indiana","10/12/16","CVOTER International",192,"C+",330,"likelyvoters",43.1,52.7,27
"581","IN","Indiana","10/12/16","Monmouth University",1,"A+",402,"likelyvoters",41,45,27
"582","IN","Indiana","10/12/16","Google Consumer Surveys",73,"B",665,"likelyvoters",38.24,32.72,27
"583","IN","Indiana","10/8/16","The Times-Picayune/Lucid",NA,"",1123,"likelyvoters",37,43,31
"584","IN","Indiana","10/6/16","Ipsos",25,"A-",434,"likelyvoters",38.27,47.14,33
"585","IN","Indiana","10/6/16","Google Consumer Surveys",73,"B",653,"likelyvoters",36.04,35.07,33
"586","IN","Indiana","10/5/16","CVOTER International",192,"C+",329,"likelyvoters",42.8,52.4,34
"587","IN","Indiana","10/4/16","Public Opinion Strategies",87,"B",600,"likelyvoters",38,43,35
"588","IN","Indiana","9/30/16","Google Consumer Surveys",73,"B",616,"likelyvoters",35.1,32.52,39
"589","IN","Indiana","9/29/16","Ipsos",25,"A-",430,"likelyvoters",37.21,50.31,40
"590","IN","Indiana","9/25/16","CVOTER International",192,"C+",533,"likelyvoters",40.6,55.4,44
"591","IN","Indiana","9/23/16","Google Consumer Surveys",73,"B",568,"likelyvoters",36.14,33.29,46
"592","IN","Indiana","9/22/16","Ipsos",25,"A-",340,"likelyvoters",35.88,53.16,47
"593","IN","Indiana","9/18/16","CVOTER International",192,"C+",532,"likelyvoters",40.9,54.4,51
"594","IN","Indiana","9/17/16","Google Consumer Surveys",73,"B",607,"likelyvoters",31.89,32.25,52
"595","IN","Indiana","9/15/16","Ipsos",25,"A-",367,"likelyvoters",34.92,53.53,54
"596","IN","Indiana","9/10/16","Google Consumer Surveys",73,"B",667,"likelyvoters",30.92,31.52,59
"597","IN","Indiana","9/8/16","Ipsos",25,"A-",372,"likelyvoters",33.33,53.13,61
"598","IN","Indiana","9/7/16","Public Opinion Strategies",87,"B",600,"likelyvoters",36,43,62
"599","IN","Indiana","9/3/16","Google Consumer Surveys",73,"B",715,"likelyvoters",29.21,35.57,66
"600","IN","Indiana","9/1/16","Ipsos",25,"A-",351,"likelyvoters",32.07,55.94,68
"601","IN","Indiana","8/27/16","Google Consumer Surveys",73,"B",598,"likelyvoters",34.59,30.45,73
"602","IN","Indiana","8/25/16","Ipsos",25,"A-",303,"likelyvoters",32.08,55.66,75
"603","IN","Indiana","8/20/16","SurveyMonkey",352,"C-",2294,"registeredvoters",30,46,80
"604","IN","Indiana","8/20/16","Google Consumer Surveys",73,"B",631,"likelyvoters",31.81,35.98,80
"605","IN","Indiana","8/18/16","Ipsos",25,"A-",283,"likelyvoters",34.06,55.4,82
"606","IN","Indiana","8/14/16","Monmouth University",1,"A+",403,"likelyvoters",36,47,86
"607","IN","Indiana","8/13/16","Google Consumer Surveys",73,"B",617,"likelyvoters",31.62,35.74,87
"608","IN","Indiana","8/11/16","Ipsos",25,"A-",335,"likelyvoters",36.31,54.13,89
"609","IN","Indiana","8/2/16","Expedition Strategies",NA,"",600,"likelyvoters",44,44,98
"610","IN","Indiana","7/20/16","Tarrance Group",86,"B",503,"registeredvoters",36,50,111
"611","IN","Indiana","5/13/16","Bellwether Research & Consulting",NA,"",600,"registeredvoters",31,40,179
"612","IN","Indiana","4/27/16","Marist College",8,"A",2149,"registeredvoters",41,48,195
"613","IN","Indiana","4/19/16","Public Opinion Strategies",87,"B",500,"likelyvoters",39,47,203
"614","KS","Kansas","10/17/16","Google Consumer Surveys",73,"B",286,"likelyvoters",38.59,29.67,22
"615","KS","Kansas","10/13/16","SurveyUSA",12,"A",581,"likelyvoters",36,47,26
"616","KS","Kansas","10/12/16","CVOTER International",192,"C+",332,"likelyvoters",39.5,55.5,27
"617","KS","Kansas","10/12/16","Google Consumer Surveys",73,"B",264,"likelyvoters",45.87,26.74,27
"618","KS","Kansas","10/10/16","Ipsos",25,"A-",349,"likelyvoters",37.87,50.29,29
"619","KS","Kansas","10/6/16","Google Consumer Surveys",73,"B",250,"likelyvoters",40.37,30.72,33
"620","KS","Kansas","10/5/16","CVOTER International",192,"C+",332,"likelyvoters",39.5,54.8,34
"621","KS","Kansas","10/3/16","Ipsos",25,"A-",382,"likelyvoters",37.9,50.27,36
"622","KS","Kansas","9/30/16","Google Consumer Surveys",73,"B",294,"likelyvoters",36.39,28.62,39
"623","KS","Kansas","9/26/16","Ipsos",25,"A-",374,"likelyvoters",34.85,55.3,43
"624","KS","Kansas","9/25/16","CVOTER International",192,"C+",535,"likelyvoters",38.3,57.8,44
"625","KS","Kansas","9/23/16","Google Consumer Surveys",73,"B",252,"likelyvoters",42.95,30.92,46
"626","KS","Kansas","9/19/16","Ipsos",25,"A-",336,"likelyvoters",34.4,53.56,50
"627","KS","Kansas","9/18/16","CVOTER International",192,"C+",518,"likelyvoters",38.3,57.2,51
"628","KS","Kansas","9/17/16","Google Consumer Surveys",73,"B",246,"likelyvoters",41.3,29.59,52
"629","KS","Kansas","9/12/16","Ipsos",25,"A-",314,"likelyvoters",35.91,50.8,57
"630","KS","Kansas","9/10/16","Google Consumer Surveys",73,"B",283,"likelyvoters",37.26,28.56,59
"631","KS","Kansas","9/8/16","SurveyUSA",12,"A",595,"likelyvoters",36,48,61
"632","KS","Kansas","9/5/16","Ipsos",25,"A-",309,"likelyvoters",38.88,49.42,64
"633","KS","Kansas","9/3/16","Google Consumer Surveys",73,"B",297,"likelyvoters",36.4,33.94,66
"634","KS","Kansas","8/29/16","Ipsos",25,"A-",294,"likelyvoters",38.27,51.62,71
"635","KS","Kansas","8/27/16","Google Consumer Surveys",73,"B",217,"likelyvoters",43.82,26.61,73
"636","KS","Kansas","8/22/16","Remington",NA,"",7769,"likelyvoters",37,44,78
"637","KS","Kansas","8/22/16","Ipsos",25,"A-",254,"likelyvoters",37.02,52.45,78
"638","KS","Kansas","8/20/16","SurveyMonkey",352,"C-",741,"registeredvoters",30,43,80
"639","KS","Kansas","8/20/16","Google Consumer Surveys",73,"B",275,"likelyvoters",40.04,26.88,80
"640","KS","Kansas","8/15/16","Ipsos",25,"A-",274,"likelyvoters",37.35,47.97,85
"641","KS","Kansas","8/13/16","Google Consumer Surveys",73,"B",244,"likelyvoters",34.98,30.11,87
"642","KS","Kansas","8/8/16","Ipsos",25,"A-",333,"likelyvoters",37.04,47.54,92
"643","KS","Kansas","8/5/16","SurveyUSA",12,"A",566,"likelyvoters",39,44,95
"644","KS","Kansas","7/16/16","Fort Hays State University",357,"C-",542,"likelyvoters",27,44,115
"645","KS","Kansas","7/9/16","SurveyUSA",12,"A",559,"likelyvoters",36,47,122
"646","KS","Kansas","6/5/16","Zogby Interactive/JZ Analytics",344,"C-",433,"registeredvoters",43,36,156
"647","KY","Kentucky","10/17/16","Google Consumer Surveys",73,"B",398,"likelyvoters",33.15,43.68,22
"648","KY","Kentucky","10/12/16","CVOTER International",192,"C+",324,"likelyvoters",38.1,57.6,27
"649","KY","Kentucky","10/12/16","Google Consumer Surveys",73,"B",328,"likelyvoters",29.49,41.89,27
"650","KY","Kentucky","10/10/16","Ipsos",25,"A-",458,"likelyvoters",41.04,51.6,29
"651","KY","Kentucky","10/6/16","Google Consumer Surveys",73,"B",196,"likelyvoters",35.39,34,33
"652","KY","Kentucky","10/6/16","Ipsos",25,"A-",336,"likelyvoters",39.38,53.08,33
"653","KY","Kentucky","10/5/16","CVOTER International",192,"C+",327,"likelyvoters",38.2,56.9,34
"654","KY","Kentucky","9/30/16","Google Consumer Surveys",73,"B",384,"likelyvoters",36.44,36.64,39
"655","KY","Kentucky","9/29/16","Ipsos",25,"A-",370,"likelyvoters",37.27,57.06,40
"656","KY","Kentucky","9/25/16","CVOTER International",192,"C+",537,"likelyvoters",36.6,59.3,44
"657","KY","Kentucky","9/23/16","Google Consumer Surveys",73,"B",320,"likelyvoters",32.6,35.16,46
"658","KY","Kentucky","9/22/16","Ipsos",25,"A-",361,"likelyvoters",37.76,56.38,47
"659","KY","Kentucky","9/18/16","CVOTER International",192,"C+",523,"likelyvoters",36.1,59.1,51
"660","KY","Kentucky","9/17/16","Google Consumer Surveys",73,"B",366,"likelyvoters",29.61,40.67,52
"661","KY","Kentucky","9/15/16","Ipsos",25,"A-",322,"likelyvoters",37.31,53.57,54
"662","KY","Kentucky","9/10/16","Google Consumer Surveys",73,"B",368,"likelyvoters",32.16,43.82,59
"663","KY","Kentucky","9/5/16","Ipsos",25,"A-",437,"likelyvoters",35.33,53.99,64
"664","KY","Kentucky","9/3/16","Google Consumer Surveys",73,"B",405,"likelyvoters",29.48,40.03,66
"665","KY","Kentucky","8/29/16","Ipsos",25,"A-",409,"likelyvoters",37.01,53.27,71
"666","KY","Kentucky","8/27/16","Google Consumer Surveys",73,"B",380,"likelyvoters",36.67,32.51,73
"667","KY","Kentucky","8/22/16","Ipsos",25,"A-",404,"likelyvoters",41.76,46.34,78
"668","KY","Kentucky","8/20/16","SurveyMonkey",352,"C-",732,"registeredvoters",29,52,80
"669","KY","Kentucky","8/20/16","Google Consumer Surveys",73,"B",383,"likelyvoters",34.88,39.74,80
"670","KY","Kentucky","8/15/16","Ipsos",25,"A-",413,"likelyvoters",43.04,45.34,85
"671","KY","Kentucky","8/13/16","Google Consumer Surveys",73,"B",407,"likelyvoters",33.42,34.87,87
"672","KY","Kentucky","8/8/16","Ipsos",25,"A-",375,"likelyvoters",41.02,47.01,92
"673","KY","Kentucky","7/31/16","Harper Polling",148,"B-",500,"registeredvoters",36,49,100
"674","LA","Louisiana","10/18/16","Mason-Dixon Polling & Research, Inc.",49,"B+",625,"likelyvoters",34,54,21
"675","LA","Louisiana","10/17/16","Google Consumer Surveys",73,"B",312,"likelyvoters",25.88,51.95,22
"676","LA","Louisiana","10/13/16","JMC Enterprises",294,"C",800,"registeredvoters",38,45,26
"677","LA","Louisiana","10/12/16","CVOTER International",192,"C+",314,"likelyvoters",40.8,54.7,27
"678","LA","Louisiana","10/12/16","Google Consumer Surveys",73,"B",280,"likelyvoters",25.82,49.54,27
"679","LA","Louisiana","10/10/16","Ipsos",25,"A-",459,"likelyvoters",35.5,51.46,29
"680","LA","Louisiana","10/6/16","Google Consumer Surveys",73,"B",223,"likelyvoters",22.83,49.2,33
"681","LA","Louisiana","10/5/16","CVOTER International",192,"C+",320,"likelyvoters",40.4,54.5,34
"682","LA","Louisiana","10/3/16","Ipsos",25,"A-",473,"likelyvoters",35.98,49.16,36
"683","LA","Louisiana","9/30/16","Google Consumer Surveys",73,"B",259,"likelyvoters",31.23,45.71,39
"684","LA","Louisiana","9/28/16","Market Research Insight",54,"B+",600,"likelyvoters",35,52,41
"685","LA","Louisiana","9/26/16","Ipsos",25,"A-",463,"likelyvoters",35.53,50.88,43
"686","LA","Louisiana","9/25/16","CVOTER International",192,"C+",531,"likelyvoters",38.6,57.2,44
"687","LA","Louisiana","9/23/16","Google Consumer Surveys",73,"B",221,"likelyvoters",30.6,45.73,46
"688","LA","Louisiana","9/23/16","JMC Enterprises",294,"C",905,"likelyvoters",35,45,46
"689","LA","Louisiana","9/19/16","Ipsos",25,"A-",427,"likelyvoters",37.53,49.56,50
"690","LA","Louisiana","9/18/16","CVOTER International",192,"C+",533,"likelyvoters",38.9,56.4,51
"691","LA","Louisiana","9/17/16","Google Consumer Surveys",73,"B",259,"likelyvoters",25.28,53.54,52
"692","LA","Louisiana","9/16/16","Southern Media & Opinion Research",142,"B-",500,"likelyvoters",32.6,48.9,53
"693","LA","Louisiana","9/12/16","Ipsos",25,"A-",369,"likelyvoters",35.79,51.87,57
"694","LA","Louisiana","9/10/16","Google Consumer Surveys",73,"B",258,"likelyvoters",26.43,45.38,59
"695","LA","Louisiana","9/5/16","Ipsos",25,"A-",374,"likelyvoters",34.25,54.2,64
"696","LA","Louisiana","9/3/16","Google Consumer Surveys",73,"B",273,"likelyvoters",23.88,50.15,66
"697","LA","Louisiana","8/30/16","Anzalone Liszt Grove Research",323,"C",605,"likelyvoters",40,46,70
"698","LA","Louisiana","8/29/16","Ipsos",25,"A-",342,"likelyvoters",33.24,59.91,71
"699","LA","Louisiana","8/27/16","Google Consumer Surveys",73,"B",294,"likelyvoters",23.53,49.56,73
"700","LA","Louisiana","8/22/16","Ipsos",25,"A-",333,"likelyvoters",36.85,56.69,78
"701","LA","Louisiana","8/20/16","SurveyMonkey",352,"C-",871,"registeredvoters",33,49,80
"702","LA","Louisiana","8/20/16","Google Consumer Surveys",73,"B",286,"likelyvoters",21.03,51.78,80
"703","LA","Louisiana","8/15/16","Ipsos",25,"A-",326,"likelyvoters",39.41,50.38,85
"704","LA","Louisiana","8/13/16","Google Consumer Surveys",73,"B",280,"likelyvoters",27.03,46.2,87
"705","LA","Louisiana","8/8/16","Ipsos",25,"A-",424,"likelyvoters",38.11,48.16,92
"706","LA","Louisiana","5/5/16","JMC Enterprises",294,"C",624,"likelyvoters",36,52,187
"707","MA","Massachusetts","10/17/16","Google Consumer Surveys",73,"B",485,"likelyvoters",48.34,23.72,22
"708","MA","Massachusetts","10/14/16","MassINC Polling Group",32,"A-",502,"likelyvoters",54,28,25
"709","MA","Massachusetts","10/13/16","Ipsos",25,"A-",476,"likelyvoters",57,25.36,26
"710","MA","Massachusetts","10/12/16","CVOTER International",192,"C+",329,"likelyvoters",57.9,38.9,27
"711","MA","Massachusetts","10/12/16","Google Consumer Surveys",73,"B",421,"likelyvoters",52.83,18.93,27
"712","MA","Massachusetts","10/6/16","Ipsos",25,"A-",598,"likelyvoters",54.07,28.57,33
"713","MA","Massachusetts","10/6/16","Google Consumer Surveys",73,"B",407,"likelyvoters",52.75,19.79,33
"714","MA","Massachusetts","10/5/16","CVOTER International",192,"C+",328,"likelyvoters",57.6,38.7,34
"715","MA","Massachusetts","9/30/16","Google Consumer Surveys",73,"B",465,"likelyvoters",50.2,22.82,39
"716","MA","Massachusetts","9/29/16","Ipsos",25,"A-",671,"likelyvoters",48.99,29.85,40
"717","MA","Massachusetts","9/28/16","Western New England University",35,"A-",403,"likelyvoters",58,26,41
"718","MA","Massachusetts","9/25/16","CVOTER International",192,"C+",507,"likelyvoters",55.9,40.8,44
"719","MA","Massachusetts","9/23/16","Google Consumer Surveys",73,"B",399,"likelyvoters",49.68,22.87,46
"720","MA","Massachusetts","9/22/16","Ipsos",25,"A-",588,"likelyvoters",50.12,28.38,47
"721","MA","Massachusetts","9/18/16","CVOTER International",192,"C+",501,"likelyvoters",56.2,40.1,51
"722","MA","Massachusetts","9/17/16","YouGov",81,"B",700,"likelyvoters",47,34,52
"723","MA","Massachusetts","9/17/16","Google Consumer Surveys",73,"B",435,"likelyvoters",50.03,23.57,52
"724","MA","Massachusetts","9/15/16","Ipsos",25,"A-",509,"likelyvoters",53.52,30.28,54
"725","MA","Massachusetts","9/10/16","Google Consumer Surveys",73,"B",481,"likelyvoters",42.9,28.07,59
"726","MA","Massachusetts","9/8/16","MassINC Polling Group",32,"A-",506,"likelyvoters",54,28,61
"727","MA","Massachusetts","9/8/16","Ipsos",25,"A-",488,"likelyvoters",53.07,31.09,61
"728","MA","Massachusetts","9/4/16","Emerson College",119,"B",500,"likelyvoters",50,33,65
"729","MA","Massachusetts","9/3/16","Google Consumer Surveys",73,"B",444,"likelyvoters",43.78,24.19,66
"730","MA","Massachusetts","9/1/16","Ipsos",25,"A-",485,"likelyvoters",53.47,29.86,68
"731","MA","Massachusetts","8/27/16","Google Consumer Surveys",73,"B",485,"likelyvoters",48.64,23.46,73
"732","MA","Massachusetts","8/25/16","Ipsos",25,"A-",401,"likelyvoters",47.92,31.85,75
"733","MA","Massachusetts","8/20/16","SurveyMonkey",352,"C-",1167,"registeredvoters",48,29,80
"734","MA","Massachusetts","8/20/16","Google Consumer Surveys",73,"B",509,"likelyvoters",50.66,22,80
"735","MA","Massachusetts","8/18/16","Ipsos",25,"A-",399,"likelyvoters",46.28,32.51,82
"736","MA","Massachusetts","8/13/16","Google Consumer Surveys",73,"B",444,"likelyvoters",50.33,21.5,87
"737","MA","Massachusetts","8/11/16","Ipsos",25,"A-",495,"likelyvoters",52.52,29.58,89
"738","MA","Massachusetts","6/27/16","Hickman Analytics",NA,"",500,"registeredvoters",49,31,134
"739","MA","Massachusetts","5/3/16","Suffolk University",65,"B+",500,"likelyvoters",55,31,189
"740","MA","Massachusetts","4/5/16","Western New England University",35,"A-",497,"registeredvoters",62,26,217
"741","MD","Maryland","10/17/16","Google Consumer Surveys",73,"B",414,"likelyvoters",49.12,25.44,22
"742","MD","Maryland","10/13/16","Ipsos",25,"A-",369,"likelyvoters",53.03,28.62,26
"743","MD","Maryland","10/12/16","CVOTER International",192,"C+",325,"likelyvoters",58.7,37.1,27
"744","MD","Maryland","10/12/16","Google Consumer Surveys",73,"B",349,"likelyvoters",47.49,24.96,27
"745","MD","Maryland","10/6/16","Ipsos",25,"A-",487,"likelyvoters",53.72,31.56,33
"746","MD","Maryland","10/6/16","Google Consumer Surveys",73,"B",368,"likelyvoters",48.14,25.89,33
"747","MD","Maryland","10/5/16","CVOTER International",192,"C+",331,"likelyvoters",58.2,37.2,34
"748","MD","Maryland","9/30/16","Google Consumer Surveys",73,"B",461,"likelyvoters",48.83,23.09,39
"749","MD","Maryland","9/29/16","Ipsos",25,"A-",508,"likelyvoters",53.07,31.74,40
"750","MD","Maryland","9/28/16","ABC News/Washington Post",6,"A+",706,"likelyvoters",63,27,41
"751","MD","Maryland","9/25/16","CVOTER International",192,"C+",527,"likelyvoters",57.6,38.7,44
"752","MD","Maryland","9/23/16","Google Consumer Surveys",73,"B",349,"likelyvoters",40.59,28.62,46
"753","MD","Maryland","9/22/16","Ipsos",25,"A-",466,"likelyvoters",51.84,32.73,47
"754","MD","Maryland","9/18/16","Goucher College",NA,"",514,"likelyvoters",58,25,51
"755","MD","Maryland","9/18/16","CVOTER International",192,"C+",531,"likelyvoters",57.6,37.9,51
"756","MD","Maryland","9/17/16","Google Consumer Surveys",73,"B",355,"likelyvoters",43.47,26.86,52
"757","MD","Maryland","9/15/16","Ipsos",25,"A-",435,"likelyvoters",50.27,33.88,54
"758","MD","Maryland","9/10/16","Google Consumer Surveys",73,"B",454,"likelyvoters",43.81,25.98,59
"759","MD","Maryland","9/8/16","Ipsos",25,"A-",361,"likelyvoters",53.13,29.03,61
"760","MD","Maryland","9/3/16","Google Consumer Surveys",73,"B",447,"likelyvoters",46.95,23.56,66
"761","MD","Maryland","9/1/16","Ipsos",25,"A-",364,"likelyvoters",53.93,29.58,68
"762","MD","Maryland","8/27/16","Google Consumer Surveys",73,"B",483,"likelyvoters",45.83,24.29,73
"763","MD","Maryland","8/24/16","OpinionWorks",151,"B-",754,"likelyvoters",54,25,76
"764","MD","Maryland","8/22/16","Ipsos",25,"A-",526,"likelyvoters",52.18,32.11,78
"765","MD","Maryland","8/20/16","SurveyMonkey",352,"C-",1199,"registeredvoters",54,27,80
"766","MD","Maryland","8/20/16","Google Consumer Surveys",73,"B",439,"likelyvoters",44.15,25.86,80
"767","MD","Maryland","8/15/16","Ipsos",25,"A-",525,"likelyvoters",53.02,30.47,85
"768","MD","Maryland","8/13/16","Google Consumer Surveys",73,"B",437,"likelyvoters",48.93,21.31,87
"769","MD","Maryland","8/8/16","Ipsos",25,"A-",475,"likelyvoters",52.87,29.37,92
"770","MD","Maryland","4/7/16","Marist College",8,"A",2563,"registeredvoters",63,27,215
"771","MD","Maryland","4/1/16","ABC News/Washington Post",6,"A+",752,"registeredvoters",63,28,221
